         3.1415926536e-02         -6.0599882916e-03
         3.4906585040e-02         -7.5208100841e-03
         3.9269908170e-02         -8.4653784336e-03
         4.4879895051e-02         -9.6813871030e-03
         5.2359877560e-02         -9.3437194248e-03
         6.2831853072e-02         -1.3584941448e-02
         7.8539816340e-02         -1.7016865109e-02
         1.0471975512e-01         -2.2773528143e-02
         1.5707963268e-01         -3.4443454970e-02
         3.1415926536e-01         -7.1163692689e-02
