         1.3006299968e+00          2.6201391081e+00          5.7340437935e-03          2.6214471630e+00
         1.3120179045e+00          2.6280265935e+00          5.6939538697e-03          2.6292622693e+00
         1.3233303354e+00          2.6355583837e+00          5.6562154468e-03          2.6367213541e+00
         1.3345717445e+00          2.6427396525e+00          5.6207045648e-03          2.6438296125e+00
         1.3457463623e+00          2.6495751947e+00          5.5873088750e-03          2.6505918600e+00
         1.3568582151e+00          2.6560694551e+00          5.5559264069e-03          2.6570125615e+00
         1.3679111441e+00          2.6622265542e+00          5.5264645003e-03          2.6630958572e+00
         1.3789088218e+00          2.6680503109e+00          5.4988388785e-03          2.6688455855e+00
         1.3898547675e+00          2.6735442635e+00          5.4729728409e-03          2.6742653036e+00
         1.4007523606e+00          2.6787116879e+00          5.4487965581e-03          2.6793583056e+00
         1.4116048535e+00          2.6835556134e+00          5.4262464552e-03          2.6841276396e+00
         1.4224153829e+00          2.6880788383e+00          5.4052646706e-03          2.6885761215e+00
         1.4331869800e+00          2.6922839422e+00          5.3857985811e-03          2.6927063487e+00
         1.4439225808e+00          2.6961732982e+00          5.3678003837e-03          2.6965207120e+00
         1.4546250343e+00          2.6997490835e+00          5.3512267286e-03          2.7000214056e+00
         1.4652971111e+00          2.7030132885e+00          5.3360383946e-03          2.7032104371e+00
         1.4759415111e+00          2.7059677254e+00          5.3222000047e-03          2.7060896358e+00
         1.4865608706e+00          2.7086140358e+00          5.3096797757e-03          2.7086606599e+00
         1.4971577692e+00          2.7109536972e+00          5.2984492977e-03          2.7109250036e+00
         1.5077347359e+00          2.7129880288e+00          5.2884833426e-03          2.7128840029e+00
         1.5182942553e+00          2.7147181971e+00          5.2797596959e-03          2.7145388405e+00
         1.5288387733e+00          2.7161452199e+00          5.2722590121e-03          2.7158905509e+00
         1.5393707027e+00          2.7172699705e+00          5.2659646895e-03          2.7169400236e+00
         1.5498924282e+00          2.7180931808e+00          5.2608627652e-03          2.7176880071e+00
         1.5604063119e+00          2.7186154445e+00          5.2569418263e-03          2.7181351112e+00
         1.5709146978e+00          2.7188372186e+00          5.2541929387e-03          2.7182818094e+00
         1.5814199169e+00          2.7187588256e+00          5.2526095901e-03          2.7181284407e+00
         1.5919242922e+00          2.7183804547e+00          5.2521876492e-03          2.7176752106e+00
         1.6024301429e+00          2.7177021624e+00          5.2529253378e-03          2.7169221920e+00
