         3.1415926536e-02          6.0377259200e-03
         3.4906585040e-02          7.4646697208e-03
         3.9269908170e-02          8.3943173605e-03
         4.4879895051e-02          9.5885565751e-03
         5.2359877560e-02          9.3235781345e-03
         6.2831853072e-02          1.3402864321e-02
         7.8539816340e-02          1.6732136598e-02
         1.0471975512e-01          2.2266442684e-02
         1.5707963268e-01          3.3296604860e-02
         3.1415926536e-01          6.6435870796e-02
