 0.855 0.0123477 0.0176726
 0.86 0.0125804 0.0175402
 0.865 0.0128059 0.0174112
 0.87 0.0130241 0.0172859
 0.875 0.0132348 0.0171644
 0.88 0.0134378 0.0170468
 0.885 0.0136331 0.0169334
 0.89 0.0138204 0.0168242
 0.895 0.0139996 0.0167194
 0.9 0.0141705 0.0166192
 0.905 0.014333 0.0165237
 0.91 0.0144871 0.016433
 0.915 0.0146324 0.0163471
 0.92 0.014769 0.0162663
 0.925 0.0148968 0.0161905
 0.93 0.0150157 0.0161199
 0.935 0.0151256 0.0160545
 0.94 0.0152265 0.0159943
 0.945 0.0153184 0.0159395
 0.95 0.0154015 0.0158898
 0.955 0.0154759 0.0158453
 0.96 0.0155419 0.0158057
 0.965 0.0155999 0.015771
 0.97 0.0156504 0.0157407
 0.975 0.0156942 0.0157144
 0.98 0.0157322 0.0156915
 0.985 0.0157656 0.0156714
 0.99 0.015796 0.0156532
 0.995 0.0158251 0.0156358
 1 0.0158548 0.015618
 1.005 0.0158874 0.0155985
 1.01 0.015925 0.0155761
 1.015 0.01597 0.0155493
 1.02 0.0160245 0.0155168
 1.025 0.0160904 0.0154776
 1.03 0.0161691 0.0154307
 1.035 0.0162616 0.0153758
 1.04 0.0163681 0.0153125
 1.045 0.0164881 0.0152413
 1.05 0.0166208 0.0151627
 1.055 0.0167646 0.0150775
 1.06 0.016918 0.014987
 1.065 0.0170791 0.014892
 1.07 0.0172466 0.0147935
 1.075 0.0174195 0.014692
 1.08 0.0175976 0.0145878
 1.085 0.0177811 0.0144808
 1.09 0.0179708 0.0143704
 1.095 0.0181678 0.014256
 1.1 0.0183733 0.0141369
 1.105 0.0185879 0.0140127
 1.11 0.018812 0.0138831
 1.115 0.0190451 0.0137484
 1.12 0.0192861 0.013609
 1.125 0.0195338 0.0134656
 1.13 0.0197865 0.0133188
 1.135 0.0200429 0.0131693
 1.14 0.0203021 0.0130169
 1.145 0.0205637 0.0128614
 1.15 0.0208277 0.0127019
 1.155 0.0210942 0.0125374
 1.16 0.0213629 0.0123665
 1.165 0.0216331 0.0121879
 1.17 0.0219031 0.0120004
 1.175 0.0221702 0.0118025
 1.18 0.022431 0.0115927
 1.185 0.0226814 0.0113688
 1.19 0.0229168 0.0111277
 1.195 0.0231323 0.0108651
 1.2 0.0233224 0.0105753
 1.205 0.0234809 0.0102513
 1.21 0.0235998 0.00988443
 1.215 0.0236695 0.00946435
 1.22 0.0236773 0.00897904
 1.225 0.0236081 0.00841432
 1.23 0.0234434 0.00775341
 1.235 0.0231613 0.00697633
 1.24 0.0227371 0.00605927
 1.245 0.0221419 0.00497402
 1.25 0.0213432 0.00368748
 1.255 0.0203031 0.00216134
 1.26 0.0189786 0.000351787
 1.265 0.0173198 0.00179081
 1.27 0.0152701 0.00432225
 1.275 0.0127657 0.00730492
 1.28 0.00973559 0.0108083
 1.285 0.00610167 0.0149092
 1.29 0.00177904 0.0196922
 1.295 0.00332389 0.0252489
 1.3 0.00930526 0.0316783
 1.305 0.0162695 0.039085
 1.31 0.0243266 0.047579
 1.315 0.0335912 0.0572741
 1.32 0.0441807 0.0682864
 1.325 0.0562134 0.0807327
 1.33 0.0698058 0.0947286
 1.335 0.0850699 0.110386
 1.34 0.102111 0.12781
 1.345 0.121023 0.147097
 1.35 0.141888 0.168327
 1.355 0.16477 0.191565
 1.36 0.189715 0.216855
 1.365 0.216742 0.244216
 1.37 0.245842 0.273637
 1.375 0.276975 0.305078
 1.38 0.310065 0.338463
 1.385 0.344999 0.37368
 1.39 0.381623 0.410575
 1.395 0.419743 0.448954
 1.4 0.459124 0.488581
 1.405 0.499491 0.52918
 1.41 0.540527 0.570434
 1.415 0.581879 0.611989
 1.42 0.623161 0.653459
 1.425 0.663958 0.69443
 1.43 0.703832 0.734464
 1.435 0.742331 0.773109
 1.44 0.778994 0.809904
 1.445 0.813364 0.844391
 1.45 0.844992 0.87612
 1.455 0.873449 0.904661
 1.46 0.898333 0.929614
 1.465 0.919281 0.950616
 1.47 0.935975 0.967349
 1.475 0.948154 0.979552
 1.48 0.955614 0.987022
 1.485 0.958221 0.989622
 1.49 0.955907 0.987286
 1.495 0.94868 0.98002
 1.5 0.936616 0.967902
 1.505 0.919866 0.951082
 1.51 0.898646 0.929778
 1.515 0.87324 0.904273
 1.52 0.843985 0.874905
 1.525 0.811272 0.842062
 1.53 0.775531 0.806176
 1.535 0.737224 0.767709
 1.54 0.696833 0.727144
 1.545 0.654855 0.684978
 1.55 0.611786 0.641706
 1.555 0.568113 0.597817
 1.56 0.524306 0.553781
 1.565 0.480812 0.510043
 1.57 0.438039 0.467013
 1.575 0.396361 0.425063
 1.58 0.356103 0.384522
 1.585 0.317547 0.34567
 1.59 0.280925 0.30874
 1.595 0.246417 0.273914
 1.6 0.21416 0.241325
 1.605 0.184238 0.21106
 1.61 0.156695 0.183163
 1.615 0.131533 0.157636
 1.62 0.108719 0.134447
 1.625 0.0881871 0.113531
 1.63 0.0698473 0.0947975
 1.635 0.0535879 0.0781354
 1.64 0.0392809 0.0634163
 1.645 0.0267864 0.050501
 1.65 0.0159576 0.0392433
 1.655 0.00664408 0.0294939
 1.66 0.0013037 0.0211037
 1.665 0.0080319 0.0139268
 1.67 0.0136807 0.00782296
 1.675 0.0183829 0.00265965
 1.68 0.0222622 0.00168658
 1.685 0.0254327 0.00532905
 1.69 0.0279982 0.00837056
 1.695 0.0300516 0.0109033
 1.7 0.0316752 0.0130092
 1.705 0.0329408 0.0147601
 1.71 0.0339108 0.0162183
 1.715 0.0346389 0.017437
 1.72 0.035171 0.0184614
 1.725 0.0355458 0.0193293
 1.73 0.0357954 0.020072
 1.735 0.0359461 0.0207155
 1.74 0.0360194 0.0212811
 1.745 0.0360324 0.0217857
 1.75 0.0359991 0.022243
 1.755 0.0359305 0.0226635
 1.76 0.0358359 0.0230553
 1.765 0.0357221 0.0234247
 1.77 0.0355944 0.0237764
 1.775 0.0354567 0.0241141
 1.78 0.0353118 0.0244408
 1.785 0.0351621 0.0247582
 1.79 0.0350094 0.0250677
 1.795 0.0348553 0.02537
 1.8 0.0347011 0.0256656
 1.805 0.0345474 0.0259549
 1.81 0.0343949 0.0262381
 1.815 0.0342436 0.0265155
 1.82 0.0340939 0.026787
 1.825 0.0339463 0.0270526
 1.83 0.0338012 0.0273118
 1.835 0.0336591 0.0275646
