0 0 0
0.01 0.0294077 6.19514e-05
0.02 0.0585235 0.000216578
0.03 0.0864746 0.000556096
0.04 0.112414 0.00117181
0.05 0.135553 0.00215366
0.06 0.15519 0.00358978
0.07 0.170738 0.00556604
0.08 0.181754 0.00816565
0.09 0.187961 0.0114687
0.1 0.18926 0.0155518
0.11 0.185746 0.0204877
0.12 0.177711 0.0263448
0.13 0.165631 0.0331868
0.14 0.150158 0.0410728
0.15 0.132087 0.0500562
0.16 0.112321 0.060185
0.17 0.0918209 0.0715015
0.18 0.0715524 0.0840416
0.19 0.05242 0.0978351
0.2 0.0352043 0.112905
0.21 0.0204987 0.129269
0.22 0.00865515 0.146935
0.23 -0.000257785 0.165907
0.24 -0.00647603 0.186181
0.25 -0.0105373 0.207745
0.26 -0.0132508 0.23058
0.27 -0.0156378 0.254662
0.28 -0.0188477 0.279959
0.29 -0.0240525 0.306429
0.3 -0.0323323 0.334028
0.31 -0.0445611 0.362702
0.32 -0.0613085 0.392391
0.33 -0.0827683 0.423029
0.34 -0.108726 0.454543
0.35 -0.138572 0.486857
0.36 -0.171353 0.519884
0.37 -0.205872 0.553537
0.38 -0.240812 0.58772
0.39 -0.274864 0.622333
0.4 -0.306865 0.657275
0.41 -0.3359 0.692435
0.42 -0.36138 0.727704
0.43 -0.383066 0.762966
0.44 -0.401059 0.798103
0.45 -0.415737 0.832997
0.46 -0.42767 0.867526
0.47 -0.437509 0.901565
0.48 -0.445868 0.934991
0.49 -0.453225 0.96768
0.5 -0.459827 0.999507
0.51 -0.465648 1.03035
0.52 -0.470367 1.06008
0.53 -0.473396 1.08858
0.54 -0.473951 1.11572
0.55 -0.471146 1.1414
0.56 -0.464121 1.1655
0.57 -0.452174 1.1879
0.58 -0.434883 1.20851
0.59 -0.412211 1.2272
0.6 -0.384564 1.2439
0.61 -0.352795 1.2585
0.62 -0.31816 1.27092
0.63 -0.282207 1.28107
0.64 -0.246635 1.28888
0.65 -0.213112 1.29428
0.66 -0.183101 1.29721
0.67 -0.157694 1.29761
0.68 -0.137491 1.29543
0.69 -0.122529 1.29064
0.7 -0.112272 1.28321
0.71 -0.105663 1.2731
0.72 -0.101231 1.26031
0.73 -0.0972346 1.24482
0.74 -0.0918298 1.22664
0.75 -0.0832414 1.20577
0.76 -0.0699225 1.18224
0.77 -0.0506866 1.15606
0.78 -0.0248053 1.12728
0.79 0.00793544 1.09594
0.8 0.0472199 1.06209
0.81 0.0922252 1.02578
0.82 0.141676 0.987083
0.83 0.193924 0.946079
0.84 0.247047 0.902847
0.85 0.298952 0.857477
0.86 0.347488 0.810066
0.87 0.390545 0.760717
0.88 0.426156 0.709541
0.89 0.452581 0.656654
0.9 0.468374 0.602177
0.91 0.472442 0.546238
0.92 0.464081 0.488969
0.93 0.443002 0.430505
0.94 0.409339 0.370988
0.95 0.363643 0.310561
0.96 0.306864 0.249371
0.97 0.240324 0.187568
0.98 0.165674 0.125302
0.99 0.0848463 0.0627286
1 0 2.44627e-16
