1 0.0125 0.00430925 240 85.0603 0.85612 
2 0.049 0.0171224 230 83.8925 1.70036 
3 0.108 0.0383165 220 82.6807 2.53189 
4 0.1895 0.0677601 210 81.424 3.34987 
5 0.292 0.105314 200 80.1211 4.15349 
6 0.414 0.15083 190 78.7708 4.94193 
7 0.5555 0.204152 180 77.3716 5.71438 
8 0.715 0.265117 170 75.9222 6.47004 
9 0.891 0.333553 160 74.4211 7.20811 
10 1.0835 0.40928 150 72.8668 7.92781 
11 1.291 0.492109 140 71.2582 8.62833 
12 1.512 0.581846 130 69.594 9.30892 
13 1.7465 0.678288 120 67.8733 9.9688 
14 1.993 0.781222 110 66.0954 10.6072 
15 2.25 0.890432 100 64.26 11.2235 
16 2.5175 1.00569 90 62.3668 11.8168 
17 2.794 1.12677 80 60.4163 12.3865 
18 3.078 1.25342 70 58.4091 12.9319 
19 3.3695 1.38541 60 56.3464 13.4525 
20 3.667 1.52247 50 54.2296 13.9475 
21 3.969 1.66436 40 52.0609 14.4165 
22 4.2755 1.8108 30 49.8426 14.8589 
23 4.585 1.96153 20 47.5776 15.2742 
24 4.896 2.11628 10 45.2694 15.662 
25 5.2085 2.27477 -0 42.9217 16.022 
26 5.521 2.43672 -10 40.5386 16.3538 
27 5.832 2.60185 -20 38.1249 16.6573 
28 6.1415 2.76987 -30 35.6853 16.9322 
29 6.448 2.94049 -40 33.2252 17.1784 
30 6.75 3.11344 -50 30.7502 17.3959 
31 7.0475 3.28841 -60 28.2659 17.5848 
32 7.339 3.46513 -70 25.7784 17.7451 
33 7.623 3.64332 -80 23.2938 17.8771 
34 7.8995 3.82268 -90 20.8183 17.981 
35 8.167 4.00294 -100 18.3582 18.0571 
36 8.424 4.18382 -110 15.9197 18.106 
37 8.6705 4.36505 -120 13.5092 18.1279 
38 8.905 4.54638 -130 11.1326 18.1237 
39 9.126 4.72753 -140 8.79605 18.0937 
40 9.3335 4.90825 -150 6.50518 18.0388 
41 9.526 5.0883 -160 4.26556 17.9598 
42 9.702 5.26745 -170 2.08243 17.8573 
43 9.8615 5.44545 -180 -0.0392851 17.7324 
44 10.003 5.62209 -190 -2.09502 17.5859 
45 10.125 5.79717 -200 -4.0806 17.4187 
46 10.2275 5.97047 -210 -5.99223 17.232 
47 10.309 6.14181 -220 -7.82656 17.0267 
48 10.368 6.311 -230 -9.58069 16.8039 
49 10.4045 6.47789 -240 -11.2522 16.5647 
